category,frequency,cluster_id,category_name
noloeggio imbarcazioni,1,1,"Transport, shipping & maritime trades"
agenzia marittima spdiuzion,1,1,"Transport, shipping & maritime trades"
Imbarcbi e sbarchi,1,1,"Transport, shipping & maritime trades"
spedizioni,1,1,"Transport, shipping & maritime trades"
nolleggno imbarcazioni,1,1,"Transport, shipping & maritime trades"
Industrie Navali Officina Meccanicee,1,1,"Transport, shipping & maritime trades"
Servizi autotrasporti Industriali di,1,1,"Transport, shipping & maritime trades"
Soc. Coop. Autotrasporti cel eri internazionali,1,1,"Transport, shipping & maritime trades"
Sindacato Imprese Trasporti Recuperi e Ricostruzioni attivita navale,1,1,"Transport, shipping & maritime trades"
"autotrasporti, spedizioni",1,1,"Transport, shipping & maritime trades"
Navigazione Fluviale,1,1,"Transport, shipping & maritime trades"
Rimorchi navali,1,1,"Transport, shipping & maritime trades"
provveditore marittimo,1,1,"Transport, shipping & maritime trades"
agenzia aunnitima spedizioni e trasporti,1,1,"Transport, shipping & maritime trades"
spedizioni trasporti navigazione,1,1,"Transport, shipping & maritime trades"
"Suoc Fratelli Scarpa, Agenzia Marittima e Casa di Spedizioni",1,1,"Transport, shipping & maritime trades"
Società di Navigazione Ae-rea,1,1,"Transport, shipping & maritime trades"
Agenzia di viaggi e turismo,1,1,"Transport, shipping & maritime trades"
trasporti marittimi diurnali e terrestri,1,1,"Transport, shipping & maritime trades"
FERRO-VE DELLE STATO,1,1,"Transport, shipping & maritime trades"
Comando Milit. Maritt. Art. dell'Alto Adriatico | Arsenale,1,1,"Transport, shipping & maritime trades"
"cicità, noleggio imbarcazioni",1,1,"Transport, shipping & maritime trades"
nolleggio imbarcazioni,1,1,"Transport, shipping & maritime trades"
"SOCIETÀ ADRIATICA TRASPORTI TURISMO IMBARCHI, SBARCHI, (GIÀ SUCO. GUETTA SOC. AN.) UFFICIO VIAGGI E TURISMO,",1,1,"Transport, shipping & maritime trades"
cantiere navale ricuperi,1,1,"Transport, shipping & maritime trades"
"Costruzione riparazione e motorizzazione Burchi, Bragozzi, Topi, Maone, Peate; Motoscafi di lusso e da trasporto - Arredamento completo del natante",1,1,"Transport, shipping & maritime trades"
autotrasporti ricuperi navali,1,1,"Transport, shipping & maritime trades"
Agenzia Marittima e casa di spedizioni,1,1,"Transport, shipping & maritime trades"
iucoperi navali,1,1,"Transport, shipping & maritime trades"
trasporti,1,1,"Transport, shipping & maritime trades"
Strti da uomo,101,2,"Textiles, clothing"
Bar,93,2,"Food, grocery & hospitality trade"
Latterie,84,2,"Food, grocery & hospitality trade"
sarta,65,2,"Textiles, clothing"
Refrettari,64,2,"Chemicals, fuel, construction materials & raw materials"
Osterie,63,2,"Food, grocery & hospitality trade"
Sarte,63,2,"Textiles, clothing"
Barbieri,60,2,"Textiles, clothing"
osteria,60,2,"Food, grocery & hospitality trade"
Mestre,54,2,
Barili,47,2,"Food, grocery & hospitality trade"
barbiere,47,2,"Textiles, clothing"
falegname,37,2,"Decorative arts, photography, antiques & artisan crafts"
Manifesture,36,2,"Textiles, clothing"
CARTA,32,2,"Textiles, clothing"
Tipografie,29,2,"Office equipment, electrical, mechanical & industrial trades"
Case di Cura,25,2,"Legal, financial & administrative professions "
Geometra,24,2,"Legal, financial & administrative professions "
ostetrica,21,2,"Legal, financial & administrative professions "
Messaggerie,20,2,"Transport, shipping & maritime trades"
Liqouri,19,2,"Food, grocery & hospitality trade"
bar,19,2,"Food, grocery & hospitality trade"
Giornali,18,2,"Office equipment, electrical, mechanical & industrial trades"
Modisterie,18,2,"Textiles, clothing"
STABILIMENTO GRAFICO,17,2,"Office equipment, electrical, mechanical & industrial trades"
Perle,17,2,"Textiles, clothing"
perito,15,2,"Legal, financial & administrative professions "
Squerì,15,2,"Transport, shipping & maritime trades"
Vini,15,2,"Food, grocery & hospitality trade"
Osteria,15,2,"Food, grocery & hospitality trade"
Agrumi,14,2,"Food, grocery & hospitality trade"
Carta,14,2,"Textiles, clothing"
Vallicultura,14,2,"Food, grocery & hospitality trade"
mercerie,14,2,"Textiles, clothing"
fiori,14,2,"Textiles, clothing"
Barbiere,14,2,"Textiles, clothing"
LOCANDE,13,2,"Food, grocery & hospitality trade"
Cinema,13,2,"Culture, entertainment & leisure"
Coltellinai e Arrotini,13,2,"Office equipment, electrical, mechanical & industrial trades"
Ghiaccio,13,2,"Food, grocery & hospitality trade"
Dolciumi,12,2,"Food, grocery & hospitality trade"
Mode,12,2,"Textiles, clothing"
